LABEL,DIST_SC,DIST_SA,DIST_SB,ANGLE_SA,ANGLE_SB
1,38.51,55.17,35.77,120.15,60.69
0,30.34,42.26,39.06,99.94,78.83
0,23.79,23.58,48.31,58.24,122.49
1,32.42,54.39,18.84,144.41,34.4
1,29.84,49.13,26.76,128.53,52
1,33.85,51.16,31.42,121.17,57.63
0,26.54,39.76,36.77,101.87,78.72
1,35.99,57.09,23.96,139.88,41.01
0,25.18,25.68,48.06,62.03,116.67
0,34.96,46.23,42.82,100.3,80.51
1,30.49,53.7,14.24,153.73,26.69
0,28.44,30.38,49.25,69.4,111.36
